,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,year
PHO,PHO,1912,418,2616,6788,0.492,3339,2117,0.77,1631,82,19730,Phoenix Suns,910,1704,365,2391,7165,0.452,3235,2114,0.76,1606,1081,1789,8637,646,1582,0.355,561,3472,1065,5583,0.479,2674,1713,9039,1,479,1770,0.412,730,3526,1210,5018,0.52,2609,2010
GSW,GSW,1839,340,2397,7094,0.469,3329,2085,0.782,1631,82,19730,Golden State Warriors,753,1979,407,2842,7033,0.485,3409,2390,0.767,1832,1100,1757,9217,645,1514,0.375,567,3942,1442,5519,0.515,2842,1886,8922,2,761,1687,0.375,633,3150,1204,5407,0.499,2696,2010
DEN,DEN,1719,417,2505,6678,0.468,3124,2508,0.772,1937,82,19780,Denver Nuggets,889,1723,438,2513,6766,0.456,3088,2207,0.768,1695,955,1943,8394,578,1498,0.349,523,3468,1235,5268,0.487,2565,1844,8729,3,683,1517,0.359,544,3394,1136,5161,0.5,2580,2010
UTA,UTA,2187,400,2588,6575,0.491,3227,2233,0.741,1654,82,19755,Utah Jazz,872,1628,445,2376,6471,0.449,2908,2286,0.762,1741,837,1818,8109,632,1559,0.354,552,3213,1238,4912,0.48,2356,1859,8547,4,675,1207,0.364,439,3460,1246,5368,0.519,2788,2010
TOR,TOR,1804,384,2507,6631,0.482,3199,2118,0.764,1618,82,19780,Toronto Raptors,806,1889,360,2453,6824,0.468,3194,2146,0.784,1683,933,1730,8680,580,1665,0.366,609,3386,1040,5159,0.501,2585,1819,8534,5,469,1397,0.371,518,3313,1100,5234,0.512,2681,2010
ORL,ORL,1615,456,2736,6394,0.47,3005,2176,0.724,1575,82,19730,Orlando Magic,810,1550,288,2481,6739,0.438,2955,1830,0.754,1380,800,1819,7812,551,1437,0.363,522,3281,1050,5302,0.459,2433,1629,8426,6,512,2241,0.375,841,3546,1155,4153,0.521,2164,2010
MEM,MEM,1543,399,2496,6875,0.469,3223,2202,0.733,1614,82,19905,Memphis Grizzlies,1070,1875,501,2349,6849,0.478,3277,1858,0.755,1402,907,1840,8528,635,1618,0.354,572,3256,1165,5231,0.517,2705,1655,8404,7,645,1020,0.337,344,3566,1248,5855,0.492,2879,2010
HOU,HOU,1790,318,2471,6923,0.447,3094,2022,0.772,1561,82,19905,Houston Rockets,971,1716,532,2632,6810,0.475,3236,1917,0.764,1464,875,1840,8425,597,1344,0.364,489,3507,1207,5466,0.503,2747,1712,8395,8,583,1838,0.351,646,3442,1188,5085,0.481,2448,2010
NYK,NYK,1772,305,2477,6876,0.455,3127,1759,0.782,1376,82,19880,New York Knicks,836,1723,368,2724,6902,0.486,3352,1896,0.754,1429,959,1576,8686,585,1571,0.352,553,3683,1182,5331,0.525,2799,1638,8373,9,586,2145,0.346,743,3313,1148,4731,0.504,2384,2010
CLE,CLE,1835,425,2692,6391,0.485,3101,2180,0.72,1569,82,19780,Cleveland Cavaliers,791,1661,325,2366,6633,0.442,2935,1907,0.757,1444,794,1708,7838,542,1511,0.347,524,3160,1045,5122,0.471,2411,1591,8373,10,564,1582,0.381,602,3483,1137,4809,0.52,2499,2010
DAL,DAL,1917,449,2586,6760,0.464,3140,1870,0.816,1526,82,19880,Dallas Mavericks,834,1659,337,2592,6805,0.457,3107,1849,0.758,1402,922,1652,8141,563,1515,0.347,525,3514,1195,5290,0.488,2582,1563,8364,11,624,1498,0.372,558,3420,1059,5262,0.491,2582,2010
